time,reno_goodput1
481.0,0.036000000000000004
482.0,0.0536
483.0,0.033600000000000005
484.0,0.036
485.0,0.0448
486.0,0.048799999999999996
487.0,0.0344
488.0,0.028000000000000004
489.0,0.0496
490.0,0.048799999999999996
491.0,0.036
492.0,0.020800000000000003
493.0,0.0464
494.0,0.044
495.0,0.0504
496.0,0.028000000000000004
497.0,0.0464
498.0,0.044
499.0,0.04479999999999999
500.0,0.0376
501.0,0.045599999999999995
502.0,0.04479999999999999
503.0,0.0368
504.0,0.0368
505.0,0.0472
506.0,0.04
507.0,0.03520000000000001
508.0,0.0504
509.0,0.04239999999999999
510.0,0.040799999999999996
511.0,0.028000000000000004
512.0,0.054400000000000004
513.0,0.044
514.0,0.040799999999999996
515.0,0.020800000000000003
516.0,0.0512
517.0,0.0392
518.0,0.055200000000000006
519.0,0.004
520.0,0.0464
521.0,0.0392
522.0,0.0496
523.0,0.0264
524.0,0.0464
525.0,0.04
526.0,0.04159999999999999
527.0,0.035199999999999995
528.0,0.0496
529.0,0.04
530.0,0.03520000000000001
531.0,0.044
532.0,0.0496
533.0,0.04
534.0,0.028800000000000003
535.0,0.0472
536.0,0.0512
537.0,0.038400000000000004
538.0,0.023199999999999995
539.0,0.045599999999999995
540.0,0.04479999999999999
541.0,0.048
542.0,0.011200000000000002
543.0,0.04079999999999999
544.0,0.04479999999999999
545.0,0.0472
546.0,0.0336
547.0,0.04159999999999999
548.0,0.04479999999999999
549.0,0.04079999999999999
550.0,0.040799999999999996
551.0,0.04479999999999999
552.0,0.04479999999999999
553.0,0.03440000000000001
554.0,0.0496
555.0,0.04479999999999999
556.0,0.04479999999999999
557.0,0.028800000000000003
558.0,0.052000000000000005
559.0,0.045599999999999995
560.0,0.044
561.0,0.023199999999999995
562.0,0.052000000000000005
563.0,0.0392
564.0,0.0536
565.0,0.011200000000000002
566.0,0.04239999999999999
567.0,0.0392
568.0,0.0528
569.0,0.0048000000000000004
570.0,0.044
571.0,0.0392
572.0,0.0464
573.0,0.0392
574.0,0.0472
575.0,0.044
576.0,0.03520000000000001
577.0,0.043199999999999995
578.0,0.052000000000000005
579.0,0.044
580.0,0.029600000000000005
581.0,0.045599999999999995
582.0,0.052000000000000005
583.0,0.04159999999999999
584.0,0.0256
585.0,0.0472
586.0,0.044
587.0,0.0464
588.0,0.0184
589.0,0.0376
590.0,0.044
591.0,0.045599999999999995
592.0,0.012000000000000002
593.0,0.0392
594.0,0.044
595.0,0.045599999999999995
596.0,0.04479999999999999
597.0,0.0424
598.0,0.048799999999999996
599.0,0.03440000000000001
600.0,0.044
601.0,0.0472
602.0,0.048799999999999996
603.0,0.029600000000000005
604.0,0.045599999999999995
605.0,0.0464
606.0,0.0472
607.0,0.0256
608.0,0.048799999999999996
609.0,0.043199999999999995
610.0,0.0472
611.0,0.0184
612.0,0.0392
613.0,0.043199999999999995
614.0,0.0464
615.0,0.012000000000000002
616.0,0.0416
617.0,0.04159999999999999
618.0,0.048
619.0,0.011200000000000002
620.0,0.0432
621.0,0.0464
622.0,0.0368
623.0,0.0392
624.0,0.0528
625.0,0.0464
626.0,0.03200000000000001
627.0,0.04079999999999999
628.0,0.0512
629.0,0.044800000000000006
630.0,0.027999999999999997
631.0,0.044
632.0,0.048
633.0,0.04
634.0,0.0256
635.0,0.0392
636.0,0.043199999999999995
637.0,0.04
638.0,0.0184
639.0,0.040799999999999996
640.0,0.04239999999999999
641.0,0.043199999999999995
642.0,0.016000000000000004
643.0,0.0424
644.0,0.0472
645.0,0.0368
646.0,0.0392
647.0,0.052000000000000005
648.0,0.0472
649.0,0.03200000000000001
650.0,0.04079999999999999
651.0,0.0504
652.0,0.04560000000000001
653.0,0.027999999999999997
654.0,0.045599999999999995
655.0,0.0472
656.0,0.0408
657.0,0.0256
658.0,0.045599999999999995
659.0,0.04239999999999999
660.0,0.0408
661.0,0.0184
662.0,0.048
663.0,0.039999999999999994
664.0,0.045599999999999995
665.0,0.016000000000000004
666.0,0.048
667.0,0.04479999999999999
668.0,0.0392
669.0,0.0344
670.0,0.057600000000000005
671.0,0.04479999999999999
672.0,0.0344
673.0,0.032
674.0,0.055200000000000006
675.0,0.044800000000000006
676.0,0.0288
677.0,0.0392
678.0,0.0536
679.0,0.03520000000000001
680.0,0.031200000000000006
681.0,0.044
682.0,0.044
683.0,0.036
684.0,0.023199999999999995
685.0,0.045599999999999995
686.0,0.04239999999999999
687.0,0.040799999999999996
688.0,0.020800000000000003
689.0,0.045599999999999995
690.0,0.0472
691.0,0.0392
692.0,0.0344
693.0,0.055200000000000006
694.0,0.0472
695.0,0.0336
696.0,0.0328
697.0,0.0536
698.0,0.0464
699.0,0.0288
700.0,0.041600000000000005
701.0,0.052000000000000005
702.0,0.0368
703.0,0.031200000000000006
704.0,0.0512
705.0,0.04239999999999999
706.0,0.037599999999999995
707.0,0.023199999999999995
708.0,0.0528
709.0,0.04079999999999999
710.0,0.0424
711.0,0.0128
712.0,0.0512
713.0,0.04079999999999999
714.0,0.045599999999999995
715.0,0.0344
716.0,0.05600000000000001
717.0,0.04079999999999999
718.0,0.039999999999999994
719.0,0.0328
720.0,0.0536
721.0,0.04159999999999999
722.0,0.0336
723.0,0.0352
724.0,0.0536
725.0,0.032
726.0,0.036
727.0,0.0496
728.0,0.044
729.0,0.032799999999999996
730.0,0.028000000000000004
731.0,0.0504
732.0,0.043199999999999995
733.0,0.036
734.0,0.019200000000000002
735.0,0.048799999999999996
736.0,0.043199999999999995
737.0,0.045599999999999995
738.0,0.036
739.0,0.0536
740.0,0.043199999999999995
741.0,0.0392
742.0,0.035199999999999995
743.0,0.052000000000000005
744.0,0.043199999999999995
745.0,0.032799999999999996
746.0,0.03760000000000001
747.0,0.052000000000000005
748.0,0.033600000000000005
749.0,0.036
750.0,0.0568
751.0,0.04239999999999999
752.0,0.0344
753.0,0.028000000000000004
754.0,0.0568
755.0,0.04159999999999999
756.0,0.0376
757.0,0.019200000000000002
758.0,0.0536
759.0,0.0368
760.0,0.052000000000000005
761.0,0.0264
762.0,0.0536
763.0,0.0368
764.0,0.045599999999999995
765.0,0.035199999999999995
766.0,0.052000000000000005
767.0,0.038400000000000004
768.0,0.037599999999999995
769.0,0.036000000000000004
770.0,0.0536
771.0,0.033600000000000005
772.0,0.036
773.0,0.0448
774.0,0.048799999999999996
775.0,0.0344
776.0,0.028000000000000004
777.0,0.0496
778.0,0.048799999999999996
779.0,0.036
780.0,0.020800000000000003
781.0,0.0464
782.0,0.044
783.0,0.0504
784.0,0.028000000000000004
785.0,0.0464
786.0,0.044
787.0,0.04479999999999999
788.0,0.0376
789.0,0.045599999999999995
790.0,0.04479999999999999
791.0,0.0368
792.0,0.0368
793.0,0.0472
794.0,0.04
795.0,0.03520000000000001
796.0,0.0504
797.0,0.04239999999999999
798.0,0.040799999999999996
799.0,0.028000000000000004
800.0,0.054400000000000004
801.0,0.044
802.0,0.040799999999999996
803.0,0.020800000000000003
804.0,0.0512
805.0,0.0392
806.0,0.055200000000000006
807.0,0.004
808.0,0.0464
809.0,0.0392
810.0,0.0496
811.0,0.0264
812.0,0.0464
813.0,0.04
814.0,0.04159999999999999
815.0,0.035199999999999995
816.0,0.0496
817.0,0.04
818.0,0.03520000000000001
819.0,0.044
820.0,0.0496
821.0,0.04
822.0,0.028800000000000003
823.0,0.0472
824.0,0.0512
825.0,0.038400000000000004
826.0,0.023199999999999995
827.0,0.045599999999999995
828.0,0.04479999999999999
829.0,0.048
830.0,0.011200000000000002
831.0,0.04079999999999999
832.0,0.04479999999999999
833.0,0.0472
834.0,0.0336
835.0,0.04159999999999999
836.0,0.04479999999999999
837.0,0.04079999999999999
838.0,0.040799999999999996
839.0,0.04479999999999999
840.0,0.04479999999999999
841.0,0.03440000000000001
842.0,0.0496
843.0,0.04479999999999999
844.0,0.04479999999999999
845.0,0.028800000000000003
846.0,0.052000000000000005
847.0,0.045599999999999995
848.0,0.044
849.0,0.023199999999999995
850.0,0.052000000000000005
851.0,0.0392
852.0,0.0536
853.0,0.011200000000000002
854.0,0.04239999999999999
855.0,0.0392
856.0,0.0528
857.0,0.0048000000000000004
858.0,0.044
859.0,0.0392
860.0,0.0464
861.0,0.0392
862.0,0.0472
863.0,0.044
864.0,0.03520000000000001
865.0,0.043199999999999995
866.0,0.052000000000000005
867.0,0.044
868.0,0.029600000000000005
869.0,0.045599999999999995
870.0,0.052000000000000005
871.0,0.04159999999999999
872.0,0.0256
873.0,0.0472
874.0,0.044
875.0,0.0464
876.0,0.0184
877.0,0.0376
878.0,0.044
879.0,0.045599999999999995
880.0,0.012000000000000002
881.0,0.0392
882.0,0.044
883.0,0.045599999999999995
884.0,0.04479999999999999
885.0,0.0424
886.0,0.048799999999999996
887.0,0.03440000000000001
888.0,0.044
889.0,0.0472
890.0,0.048799999999999996
891.0,0.029600000000000005
892.0,0.045599999999999995
893.0,0.0464
894.0,0.0472
895.0,0.0256
896.0,0.048799999999999996
897.0,0.043199999999999995
898.0,0.0472
899.0,0.0184
900.0,0.0392
901.0,0.043199999999999995
902.0,0.0464
903.0,0.012000000000000002
904.0,0.0416
905.0,0.04159999999999999
906.0,0.048
907.0,0.011200000000000002
908.0,0.0432
909.0,0.0464
910.0,0.0368
911.0,0.0392
912.0,0.0528
913.0,0.0464
914.0,0.03200000000000001
915.0,0.04079999999999999
916.0,0.0512
917.0,0.044800000000000006
918.0,0.027999999999999997
919.0,0.044
920.0,0.048
921.0,0.04
922.0,0.0256
923.0,0.0392
924.0,0.043199999999999995
925.0,0.04
926.0,0.0184
927.0,0.040799999999999996
928.0,0.04239999999999999
929.0,0.043199999999999995
930.0,0.016000000000000004
931.0,0.0424
932.0,0.0472
933.0,0.0368
934.0,0.0392
935.0,0.052000000000000005
936.0,0.0472
937.0,0.03200000000000001
938.0,0.04079999999999999
