time,tahoe_cwnd2
860.0,7.852227999999999
861.0,4.350938000000001
862.0,6.610096
863.0,7.335844
864.0,7.08823
865.0,4.1509979999999995
866.0,3.486665
867.0,5.762753
868.0,6.396768999999999
869.0,3.841490999999999
870.0,4.838941
871.0,6.150656000000001
872.0,6.463368000000001
873.0,5.329030999999999
874.0,3.0695989999999997
875.0,5.019373
876.0,5.590461
877.0,6.543658000000001
878.0,5.743582999999999
879.0,6.738111000000001
880.0,3.6185780000000003
881.0,5.820399999999999
882.0,4.080918
883.0,5.70837
884.0,6.957762000000001
885.0,7.968487000000001
886.0,5.098236
887.0,2.499998
888.0,4.889411
889.0,6.543550000000001
890.0,7.607073999999999
891.0,7.957541000000001
892.0,9.090681
893.0,3.0571479999999998
894.0,5.250801999999999
895.0,5.37722
896.0,6.701862
897.0,3.5334820000000002
898.0,5.355497
899.0,6.834764
900.0,7.300552000000001
901.0,4.693752999999999
902.0,3.092211
903.0,4.086410000000001
904.0,6.209617000000001
905.0,7.169273999999999
906.0,4.123002
907.0,5.947416
908.0,6.404906000000001
909.0,4.745358
910.0,4.869476999999999
911.0,4.828017000000001
912.0,5.811348
913.0,6.857773
914.0,4.948949999999999
915.0,6.483654
916.0,5.111972000000001
917.0,7.1152229999999985
918.0,3.112464
919.0,4.605178
920.0,6.0576989999999995
921.0,7.403732
922.0,5.935954999999999
923.0,6.4562420000000005
924.0,8.278693
925.0,4.7507220000000006
926.0,5.743721999999999
927.0,6.762094
928.0,7.896262
929.0,2.08974
930.0,4.504751000000001
931.0,6.311428999999999
932.0,6.874109999999999
933.0,4.292903
934.0,4.0373410000000005
935.0,5.751429
936.0,4.811782
937.0,6.624273
938.0,3.7204080000000004
939.0,5.584166999999999
940.0,6.102756000000001
941.0,7.006057999999999
942.0,4.902562999999999
943.0,3.7754950000000003
944.0,5.353167999999999
945.0,6.488433000000001
946.0,4.6304099999999995
947.0,6.229284
948.0,7.437562
949.0,4.770947
950.0,1.987746
951.0,4.366388000000001
952.0,5.646604
953.0,6.985981000000001
954.0,8.010110999999998
955.0,8.356141999999998
956.0,9.462721
957.0,2.005378
958.0,5.386606
959.0,6.435072
960.0,7.439781000000001
961.0,4.15246
962.0,5.987973000000001
963.0,7.467323
964.0,5.335211999999999
965.0,2.421097
966.0,3.9343140000000005
967.0,5.3060800000000015
968.0,6.9225710000000005
969.0,7.880252999999999
970.0,4.782343
971.0,4.178974999999999
972.0,5.484870000000001
973.0,5.1903500000000005
974.0,4.877765999999999
975.0,5.940624
976.0,6.575636000000001
977.0,5.083046
978.0,3.7704880000000003
979.0,5.635839999999999
980.0,5.7333300000000005
981.0,6.754746999999999
982.0,4.287803
983.0,5.521728
984.0,4.2389410000000005
985.0,5.946611
986.0,7.378896999999999
987.0,7.663511999999999
988.0,7.573719
989.0,4.150257999999999
990.0,6.589654
991.0,7.297415000000001
992.0,5.831932000000001
993.0,3.105058
994.0,5.277255000000001
995.0,6.799711
996.0,6.012201999999999
997.0,3.7839730000000005
998.0,4.810513
999.0,3.6373260000000003
